Edge,TimeStartEdge,Distance,Accidents
418742,21.35,27,0
66884,21.42,125,0
275737,15.15,80,0
105460,15.17,32,0
161743,9.02,61,0
276154,17.12,224,0
6898,17.13,114,0
385173,11.18,332,0
378589,19.17,106,0
265742,10.12,85,0
269320,10.28,56,0
181381,16.13,109,0
447076,16.25,93,0
180180,16.32,113,0
274380,16.38,83,0
274381,16.38,171,0
180244,16.42,82,0
333990,19.00,15,1
173277,9.20,1665,0
30396,9.22,601,0
51674,9.37,1461,0
54085,9.38,3218,0
470234,9.47,2965,0
131716,9.58,2048,0
173559,19.27,2439,0
54095,19.35,2130,0
10384,19.38,1437,0
122394,19.40,894,0
378102,19.65,235,0
241164,10.15,91,0
261608,10.15,273,0
258220,12.00,200,0
378581,12.08,102,0
378584,12.08,48,0
221700,12.20,137,0
214304,12.22,55,0
13294,12.27,43,0
213276,20.15,95,0
242108,9.27,40,0
7066,9.27,121,0
391988,14.28,82,0
369241,22.30,120,0
212933,8.40,23,0
9232,8.70,171,0
244690,8.75,485,0
35784,17.00,40,0
9225,17.13,866,0
294662,17.42,543,0
140117,17.50,470,0
305585,17.57,870,0
327945,17.60,267,0
11394,15.15,122,0
302775,15.00,3,0
53014,15.22,290,0
137944,10.25,44,0
377525,16.22,133,0
180215,8.22,69,0
220459,19.08,58,0
180138,19.18,60,0
14516,9.17,227,0
272063,18.25,116,0
391944,9.02,212,0
4058,9.13,26,0
7215,17.07,71,0
274285,9.03,132,1
262123,9.05,27,0
5853,9.28,107,0
237144,17.03,450,0
276154,17.15,224,0
401335,13.33,4848,0
401337,13.38,4115,0
56709,13.43,2316,0
140237,13.53,5422,0
19779,13.65,3379,0
9414,13.73,814,0
30082,19.32,1208,0
286345,19.42,4144,0
351395,19.57,2685,0
173559,19.65,2439,0
29907,11.12,346,0
9076,11.20,109,0
182943,11.22,148,0
421520,11.30,39,0
339644,21.27,130,0
9134,21.27,71,0
352122,21.30,56,0
406533,9.02,1364,0
188116,9.08,1090,0
448567,9.35,147,0
188110,18.37,197,0
438990,7.05,201,0
274952,7.12,85,0
393333,7.23,104,0
177709,15.12,15,0
177714,15.12,44,0
198509,13.03,72,0
411730,10.22,26,1
12207,10.25,75,0
393442,10.27,131,0
394924,22.10,23,0
209164,22.15,160,0
